股票代码,股票名称,当前价格,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SH600820,隧道股份,5.49,-0.04,-0.72,1.48,8686399,47787662,0.28,8.732,3.825,17261087556
SZ000533,顺钠股份,2.74,-0.02,-0.72,-9.87,3840700,10516978,0.56,102.424,0,1892835840
SH600883,博闻科技,6.94,-0.05,-0.72,-9.87,1042703,7231799,0.44,122.145,0.144,1638450720
SZ300739,明阳电路,17.89,-0.13,-0.72,-8.16,2383685,42433506.19,3.4,35.626,1.22,4996907781
SZ002597,金禾实业,40.11,-0.29,-0.72,23.68,6282101,250333745.33,1.12,30.779,1.341,22497831804
SZ002889,东方嘉盛,23.5,-0.17,-0.72,-0.76,503201,11845138.47,0.56,18.617,0.932,3245383582
SZ300397,天和防务,17.9,-0.13,-0.72,-7.78,8168183,146883039.14,2.59,66.792,0.227,7732800000
SZ300027,华谊兄弟,4.11,-0.03,-0.72,-4.42,14902385,61326679.71,0.67,,0,11422737717
SZ002751,易尚展示,17.71,-0.13,-0.73,-3.7,1700500,30247409,1.4,84.251,0.282,2737091356
SZ300205,天喻信息,9.56,-0.07,-0.73,-7.63,3050053,28971402.44,0.72,,1.046,4111335360
SZ000062,深圳华强,12.28,-0.09,-0.73,-1.29,3270988,40113940.67,0.31,21.285,1.221,12843766474
SH601198,东兴证券,12.22,-0.09,-0.73,-8.26,14660655,179816585,0.53,24.318,1.146,33702279229
SZ300157,恒泰艾普,4.07,-0.03,-0.73,4.9,17121850,70399899.5,2.42,,0,2898300956
SZ002491,通鼎互联,4.06,-0.03,-0.73,-0.49,6471650,26202852.54,0.55,,0,5076880145
SZ200468,宁通信B,2.72,-0.02,-0.73,-1.09,85400,233218,0.09,,0,584800000
SZ002761,多喜爱,8.11,-0.06,-0.73,-1.34,1636890,13334823.9,0.68,8.943,2.466,8769668195
SZ300678,中科信息,20.03,-0.15,-0.74,-9.16,1782684,35689727.72,0.99,96.981,0.25,3605400000
SZ002962,五方光电,16.17,-0.12,-0.74,-9.21,1233712,19886321.92,1.18,27.18,1.019,3956782830
SZ002930,宏川智慧,18.75,-0.14,-0.74,-3.9,5254712,97889104.14,2.93,43.924,1.23,8324896800
SH603813,原尚股份,13.5,-0.1,-0.74,-8.72,533175,7199779,0.6,34.651,1.736,1198557000
SZ002550,千红制药,4.03,-0.03,-0.74,-5.18,2526837,10172614.39,0.28,27.482,6.204,5157896250
SZ002038,双鹭药业,9.44,-0.07,-0.74,-6.53,4160605,39310707.35,0.49,33.794,2.119,9698184000
SH601512,中新集团,9.38,-0.07,-0.74,-5.63,957000,8977737,0.12,14.301,2.345,14059588200
SZ002476,宝莫股份,4.02,-0.03,-0.74,-7.59,4575891,18380686.11,0.75,23.658,0,2460240000
SZ002394,联发股份,9.39,-0.07,-0.74,-5.53,1282200,12051187,0.4,6.171,5.35,3124650204
SH603998,方盛制药,5.39,-0.04,-0.74,-10.02,1743208,9381548,0.41,33.61,2.238,2314626191
SZ002613,北玻股份,4.02,-0.03,-0.74,-8.01,8410413,33865798.87,1.51,115.61,0,3767423400
SH603488,展鹏科技,9.37,-0.07,-0.74,-7.59,2193555,20478158,0.75,27.641,2.134,2740888038
SZ002973,侨银股份,21.47,-0.16,-0.74,7.35,787100,16971339,0.74,27.018,0.158,8773930200
SZ002579,中京电子,12.03,-0.09,-0.74,-4.68,1882240,22587485.64,0.53,39.44,0.663,5982996002
SZ000911,南宁糖业,8.06,-0.06,-0.74,5.08,7865850,62009351.38,2.43,4.267,0,2612092352
SZ300667,必创科技,24.25,-0.18,-0.74,-5.01,1841450,44796700.43,1.52,124.978,0.264,4820567751
SZ300084,海默科技,4.02,-0.03,-0.74,-3.83,4591004,18465464.96,1.39,,0.373,1546758267
SH601188,龙江交通,2.63,-0.02,-0.75,-2.95,1778500,4672256,0.14,16.022,6.084,3460760642
SH600649,城投控股,5.26,-0.04,-0.75,-3.13,2750206,14487097,0.11,32.825,1.369,13305567835
SZ200011,深物业B,5.31,-0.04,-0.75,-0.56,140530,741436.5,0.21,3.174,7.432,3164648979
SZ002383,合众思壮,6.58,-0.05,-0.75,-6,4431328,28931355.84,0.77,,0,4897721234
SZ002862,实丰文化,9.31,-0.07,-0.75,-12.99,2749350,25664047.5,2.43,,0.143,1117200000
SZ002736,国信证券,13.24,-0.1,-0.75,-2.93,12578749,166930064.84,0.15,19.139,1.289,127268564951
