,date,open,close,high,low,volume,code
887,2018-08-21,647.0,671.49,672.3,647.0,52249.0,600519
888,2018-08-22,671.0,667.7,673.2,663.0,20675.0,600519
889,2018-08-23,671.7,670.21,678.5,665.18,27357.0,600519
890,2018-08-24,669.0,660.3,669.0,656.46,26090.0,600519
891,2018-08-27,662.0,687.3,687.3,662.0,48016.0,600519
892,2018-08-28,693.0,681.0,693.78,678.55,32488.0,600519
893,2018-08-29,682.0,685.85,688.88,679.1,27404.0,600519
894,2018-08-30,688.21,680.4,692.6,679.01,33788.0,600519
895,2018-08-31,676.25,659.19,677.0,656.5,58980.0,600519
896,2018-09-03,652.0,666.21,667.67,650.8,30179.0,600519
897,2018-09-04,666.8,675.04,676.0,661.6,21540.0,600519
898,2018-09-05,675.0,657.79,676.99,657.0,28983.0,600519
899,2018-09-06,652.0,644.0,659.26,640.0,42370.0,600519
900,2018-09-07,645.5,650.97,658.03,645.14,29240.0,600519
901,2018-09-10,652.2,644.8,653.81,640.7,21202.0,600519
902,2018-09-11,645.57,646.0,650.97,640.63,19496.0,600519
903,2018-09-12,643.0,630.0,644.87,628.01,41157.0,600519
904,2018-09-13,638.0,631.98,642.0,620.0,47713.0,600519
905,2018-09-14,633.98,642.9,649.78,628.53,40900.0,600519
906,2018-09-17,645.0,645.81,652.96,641.06,29112.0,600519
907,2018-09-18,643.0,666.7,668.0,642.22,37858.0,600519
908,2018-09-19,666.58,681.42,686.0,666.0,48221.0,600519
909,2018-09-20,685.2,678.55,686.9,677.36,27519.0,600519
910,2018-09-21,682.0,700.01,700.01,680.01,42617.0,600519
911,2018-09-25,695.0,697.02,705.77,693.26,30639.0,600519
912,2018-09-26,702.1,724.93,732.68,701.99,72287.0,600519
913,2018-09-27,727.5,724.0,728.0,715.4,40508.0,600519
914,2018-09-28,726.7,730.0,733.2,718.88,35089.0,600519
915,2018-10-08,715.41,686.15,719.0,686.15,82745.0,600519
916,2018-10-09,686.9,695.0,698.71,685.9,40222.0,600519
917,2018-10-10,697.26,670.92,698.0,669.69,63098.0,600519
918,2018-10-11,635.01,644.99,668.94,635.01,91581.0,600519
919,2018-10-12,651.0,668.0,672.68,650.58,54472.0,600519
920,2018-10-15,669.49,666.9,671.95,660.03,35607.0,600519
921,2018-10-16,665.98,667.14,679.53,662.01,26393.0,600519
922,2018-10-17,675.0,665.72,677.3,649.9,43077.0,600519
923,2018-10-18,660.0,645.94,660.0,644.97,52156.0,600519
924,2018-10-19,638.0,670.0,675.0,635.08,76199.0,600519
925,2018-10-22,675.0,693.0,702.02,675.0,73108.0,600519
926,2018-10-23,689.0,641.74,689.0,635.0,123112.0,600519
927,2018-10-24,628.11,636.99,650.0,620.0,76112.0,600519
928,2018-10-25,620.0,619.0,622.5,608.58,75568.0,600519
929,2018-10-26,619.0,610.1,625.0,607.98,55327.0,600519
930,2018-10-29,549.09,549.09,549.09,549.09,49076.0,600519
931,2018-10-30,510.0,524.0,543.0,509.02,204396.0,600519
932,2018-10-31,527.0,548.9,555.0,522.0,96884.0,600519
933,2018-11-01,555.0,563.0,585.5,551.25,98106.0,600519
934,2018-11-02,585.0,599.9,600.0,572.24,89156.0,600519
935,2018-11-05,593.0,575.8,593.0,571.77,75517.0,600519
936,2018-11-06,574.0,566.0,574.16,558.01,45566.0,600519
937,2018-11-07,569.0,566.4,574.95,562.01,38107.0,600519
938,2018-11-08,574.0,570.34,577.0,568.0,33763.0,600519
939,2018-11-09,567.22,562.0,569.0,562.0,24336.0,600519
940,2018-11-12,553.0,552.0,554.2,536.8,67824.0,600519
941,2018-11-13,546.12,570.0,570.0,543.0,66429.0,600519
942,2018-11-14,569.96,555.1,569.96,552.55,41766.0,600519
943,2018-11-15,558.8,559.7,564.8,555.5,30833.0,600519
944,2018-11-16,561.0,560.0,566.0,558.03,28938.0,600519
945,2018-11-19,560.3,569.02,572.0,559.11,36179.0,600519
946,2018-11-20,565.0,561.6,568.0,560.0,26943.0,600519
947,2018-11-21,554.0,564.7,568.9,553.68,27107.0,600519
948,2018-11-22,565.15,564.5,567.33,558.0,21213.0,600519
949,2018-11-23,564.0,556.9,567.3,556.9,20126.0,600519
950,2018-11-26,558.0,552.11,560.2,552.0,19120.0,600519
951,2018-11-27,552.0,548.1,554.99,546.5,20233.0,600519
952,2018-11-28,550.85,557.0,559.19,545.5,27737.0,600519
953,2018-11-29,566.03,551.6,569.8,549.01,45069.0,600519
954,2018-11-30,557.0,565.0,568.89,553.0,49010.0,600519
955,2018-12-03,589.0,601.2,605.0,584.77,83414.0,600519
956,2018-12-04,602.99,602.23,604.26,595.0,31473.0,600519
957,2018-12-05,597.5,610.1,616.5,595.0,41588.0,600519
958,2018-12-06,600.0,591.8,605.98,590.36,37758.0,600519
959,2018-12-07,595.6,587.0,598.86,584.7,26841.0,600519
960,2018-12-10,576.0,577.23,587.5,574.18,24640.0,600519
961,2018-12-11,577.0,582.99,586.55,577.0,16316.0,600519
962,2018-12-12,588.79,589.0,589.2,582.8,19921.0,600519
963,2018-12-13,590.0,601.75,606.88,589.6,40399.0,600519
964,2018-12-14,598.01,592.96,599.8,592.0,24554.0,600519
965,2018-12-17,592.57,590.52,595.97,585.01,24895.0,600519
966,2018-12-18,585.88,590.94,591.54,585.0,19222.0,600519
967,2018-12-19,589.0,577.8,590.99,576.03,25715.0,600519
968,2018-12-20,576.22,574.5,581.5,568.89,26940.0,600519
969,2018-12-21,571.0,567.41,573.45,562.21,30640.0,600519
970,2018-12-24,563.5,568.0,570.91,558.0,19109.0,600519
971,2018-12-25,562.22,565.79,567.5,553.61,26592.0,600519
972,2018-12-26,563.81,560.08,568.4,558.0,17866.0,600519
973,2018-12-27,570.0,563.0,571.85,562.22,29493.0,600519
974,2018-12-28,563.3,590.01,596.4,560.0,63678.0,600519
975,2019-01-02,609.98,598.98,612.0,595.01,62286.0,600519
976,2019-01-03,599.97,590.0,601.66,585.8,30977.0,600519
977,2019-01-04,587.28,602.0,607.67,582.02,37683.0,600519
978,2019-01-07,608.0,605.49,612.0,602.22,34750.0,600519
979,2019-01-08,605.5,604.79,612.0,600.28,28838.0,600519
980,2019-01-09,609.99,616.12,626.16,609.04,49892.0,600519
981,2019-01-10,617.13,618.77,624.88,610.25,29043.0,600519
982,2019-01-11,625.0,635.88,637.0,618.75,38884.0,600519
983,2019-01-14,633.0,624.6,635.89,621.55,25648.0,600519
984,2019-01-15,627.86,659.98,661.5,625.0,55764.0,600519
985,2019-01-16,658.0,661.1,665.65,653.6,42083.0,600519
986,2019-01-17,663.0,659.25,669.7,655.8,30284.0,600519
987,2019-01-18,665.0,683.61,690.2,661.5,68609.0,600519
988,2019-01-21,690.0,686.98,698.88,681.88,47051.0,600519
989,2019-01-22,686.0,671.0,686.0,665.22,42122.0,600519
990,2019-01-23,667.22,665.66,674.5,663.13,33624.0,600519
991,2019-01-24,670.3,672.5,677.83,664.68,29155.0,600519
992,2019-01-25,675.88,679.7,684.9,669.93,28986.0,600519
993,2019-01-28,684.0,677.0,693.98,676.03,36102.0,600519
994,2019-01-29,677.5,685.0,688.0,668.0,30342.0,600519
995,2019-01-30,684.99,676.0,686.22,676.0,22699.0,600519
996,2019-01-31,680.0,689.6,689.6,677.56,36696.0,600519
997,2019-02-01,697.04,692.67,699.0,689.61,30520.0,600519
998,2019-02-11,695.0,725.3,729.5,688.18,58140.0,600519
999,2019-02-12,723.0,717.92,725.49,715.2,35091.0,600519
1000,2019-02-13,723.0,735.25,736.16,717.22,35677.0,600519
1001,2019-02-14,731.2,737.16,743.66,730.14,32258.0,600519
1002,2019-02-15,734.88,724.78,734.88,723.02,23237.0,600519
1003,2019-02-18,731.0,740.0,744.95,731.0,37745.0,600519
1004,2019-02-19,740.96,730.76,742.5,726.66,29501.0,600519
1005,2019-02-20,735.0,722.0,735.0,716.06,37882.0,600519
1006,2019-02-21,720.0,720.25,730.48,717.0,29850.0,600519
1007,2019-02-22,717.0,726.01,728.49,714.1,25908.0,600519
1008,2019-02-25,730.75,742.33,744.44,717.99,82622.0,600519
1009,2019-02-26,747.8,727.35,749.18,726.0,57964.0,600519
1010,2019-02-27,733.0,740.7,758.02,731.0,65942.0,600519
1011,2019-02-28,737.9,755.01,763.42,736.95,56986.0,600519
1012,2019-03-01,761.5,789.3,790.0,761.0,63840.0,600519
1013,2019-03-04,795.0,781.86,798.33,777.22,84585.0,600519
1014,2019-03-05,785.0,779.78,789.55,775.88,44830.0,600519
1015,2019-03-06,775.0,768.0,779.5,765.88,46731.0,600519
1016,2019-03-07,762.22,748.6,762.22,745.56,60180.0,600519
1017,2019-03-08,737.9,737.5,746.83,733.65,52275.0,600519
1018,2019-03-11,740.04,758.54,766.95,740.04,53057.0,600519
1019,2019-03-12,763.82,745.01,763.83,739.0,52510.0,600519
1020,2019-03-13,745.5,754.0,760.75,745.5,40561.0,600519
1021,2019-03-14,757.0,778.0,785.0,754.0,62172.0,600519
1022,2019-03-15,776.0,777.3,787.5,764.85,52400.0,600519
1023,2019-03-18,778.8,810.09,814.53,777.0,81318.0,600519
1024,2019-03-19,803.0,792.61,807.92,792.3,40634.0,600519
1025,2019-03-20,790.0,792.8,802.3,785.0,31117.0,600519
1026,2019-03-21,788.0,785.75,792.8,781.5,32573.0,600519
1027,2019-03-22,788.22,794.0,799.98,785.0,30517.0,600519
1028,2019-03-25,786.0,775.6,788.0,773.3,37270.0,600519
1029,2019-03-26,780.0,773.0,785.94,764.1,37595.0,600519
1030,2019-03-27,781.0,788.5,793.88,775.0,42807.0,600519
1031,2019-03-28,793.43,806.8,814.48,785.68,57566.0,600519
1032,2019-03-29,835.0,853.99,866.68,830.17,90933.0,600519
1033,2019-04-01,860.0,859.0,868.95,851.0,60934.0,600519
1034,2019-04-02,859.99,850.0,859.99,836.06,53227.0,600519
1035,2019-04-03,840.12,844.5,851.74,834.21,43056.0,600519
1036,2019-04-04,840.0,865.0,865.8,836.2,55772.0,600519
1037,2019-04-08,900.0,900.2,908.0,890.12,66251.0,600519
1038,2019-04-09,903.0,905.0,908.2,892.51,47989.0,600519
1039,2019-04-10,903.0,947.99,951.9,900.0,67814.0,600519
1040,2019-04-11,948.0,925.2,950.0,905.55,61102.0,600519
1041,2019-04-12,909.0,914.0,919.99,900.01,48612.0,600519
1042,2019-04-15,931.0,907.0,939.0,907.0,45522.0,600519
1043,2019-04-16,904.9,939.9,939.9,901.22,46423.0,600519
1044,2019-04-17,938.0,952.0,955.51,925.0,40761.0,600519
1045,2019-04-18,945.41,945.5,954.68,936.22,19598.0,600519
1046,2019-04-19,943.96,952.56,960.95,931.31,32379.0,600519
1047,2019-04-22,959.5,949.2,978.89,940.61,40627.0,600519
1048,2019-04-23,951.0,974.95,981.22,949.2,48852.0,600519
1049,2019-04-24,979.88,970.0,990.0,951.22,45227.0,600519
1050,2019-04-25,968.79,952.37,973.99,951.22,39801.0,600519
1051,2019-04-26,946.3,945.0,959.88,945.0,43277.0,600519
